e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047111 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0019662 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047111 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043339 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047111 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0042381 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002504 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005149 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002504 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000666 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002504 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047311 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002504 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002439 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002504 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002504 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037294 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049971 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0018123 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016084 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047456 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000220 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0034871 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032514 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0050174 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0039656 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0015353 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007338 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0041112 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000666 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0026851 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005342 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028171 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043806 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0025007 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0044852 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0021396 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037234 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006170 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038720 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010253 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016514 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0019173 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006137 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0033449 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0014204 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0008469 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010098 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0017099 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047156 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047641 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047641 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000732 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047641 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003202 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0027001 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047809 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0027001 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037943 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0027001 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049896 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049896 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037943 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049896 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047809 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049896 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038128 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049896 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0034155 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049896 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032000 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049896 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0023559 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049896 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035183 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020081 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020081 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0017480 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020081 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0004717 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037294 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000666 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037294 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005149 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0015353 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038720 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028171 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028171 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000220 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028171 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005342 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028171 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000666 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028171 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0026851 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028171 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037234 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037234 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000220 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037234 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005342 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037234 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0021396 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037234 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000666 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037234 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010253 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007338 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010253 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0041112 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010253 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010253 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016514 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016514 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000220 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016514 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016514 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000666 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016514 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005342 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016514 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0026851 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016514 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006137 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0014204 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0014204 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043806 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0014204 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0008469 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0008469 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0025007 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0008469 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038220 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0008469 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0044852 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003202 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003202 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032067 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003202 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0036048 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003202 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003202 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0045971 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003202 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000732 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035183 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038128 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035183 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043802 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035183 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037943 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035183 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047809 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035183 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0034155 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035183 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032000 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035183 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0023559 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007338 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007338 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007338 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0041112 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006137 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0026851 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006137 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0021396 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006137 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000666 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006137 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000220 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006137 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005342 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006137 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043802 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038128 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0026851 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0026851 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0026851 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000666 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0021396 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0021396 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000666 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0021396 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0013304 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000132 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049279 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000220 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0001445 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0036238 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020990 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0024818 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0009623 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006170 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002331 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049971 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0008227 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0024518 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0040746 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0027989 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016258 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005497 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0018123 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0050174 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016084 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0036048 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028908 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0004717 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005149 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0040642 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0019545 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0045450 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0042912 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047916 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0021217 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0034848 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0004582 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010478 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010770 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047718 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0017297 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0019173 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000652 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016680 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0011217 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0023242 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020537 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0050519 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020797 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037636 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000732 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0031116 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0013318 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0045592 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0046000 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032514 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047311 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007040 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0029143 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028731 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007981 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003025 Temporal_Order
e caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0004447 Temporal_Order
