t # 0
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000621 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0001292 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0018065 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030358 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0049107 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0021990 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0046292 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042669 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0027865 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 Conflict.Attack.DetonateExplode
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044540 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041164 Contact.Contact.Meet
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0039773 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0026718 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0025361 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044425 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0007708 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030266 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0037309 Justice.TrialHearing.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0004630 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0038875 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030686 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0016721 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0023931 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044163 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0010808 Movement.Transportation.Evacuation
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0002019 Justice.TrialHearing.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041813 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0036971 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0017516 Justice.ChargeIndict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Justice.TrialHearing.Unspecified
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0034014 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0034505 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0001797 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0006410 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0042676 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0004328 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0014725 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0035096 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0027786 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0002816 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0003014 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0004438 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0009455 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0023509 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0039868 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0027446 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0017600 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0040947 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0014526 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0007390 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0023191 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0012219 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0022555 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0034649 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0046398 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0004148 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0010851 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0037150 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0010472 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0035665 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0024764 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0021067 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0013092 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0032008 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0047885 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0019321 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0022621 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0012764 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0004770 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0005911 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0033838 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0006273 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0006409 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0006326 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0033338 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0013212 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0025667 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0037683 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0044119 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0040451 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0038518 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0010310 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0031836 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0029805 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0041064 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0040639 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0009294 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0010682 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0041619 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0012605 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000992 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0042826 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0040673 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0050222 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0014673 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0021442 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0030371 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0032016 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0049493 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0015173 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0029093 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0002889 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0044403 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0019281 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0036356 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0021903 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0038446 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0006681 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0005094 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0008325 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0030647 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0030993 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0033792 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0025769 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0024873 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0016286 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0024023 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0036146 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0046643 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0021964 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0001349 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0002356 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0018092 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0037060 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0010037 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0036212 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0045997 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0015134 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0034335 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0004622 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0003815 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0004168 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0050304 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0042414 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0010635 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0026848 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0006574 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0013472 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0023438 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0010920 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0018250 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0013373 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0010668 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0029253 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0022595 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0046931 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0007660 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0042565 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0038930 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0038378 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0031624 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0045924 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0013330 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0032512 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0041231 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0016268 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0030713 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0002903 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0010651 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0041846 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0006259 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0023034 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0030772 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0033738 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0025558 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0020431 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0038991 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0049711 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0009989 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0019824 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0001487 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0027177 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0027590 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0027674 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0046036 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0024851 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0013560 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0019619 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0042479 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0020757 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0033578 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0031652 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0017236 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0046473 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0030598 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0026475 Temporal_Order
e caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0000038 caci:Schemas/Instantiated/cluster_32/Steps/EN_Event_0017802 Temporal_Order
